City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
13,Jamestown,US,31.59,overcast clouds,42.097,-79.2353,DoubleTree Jamestown
23,Nanortalik,GL,27.97,overcast clouds,60.1432,-45.2371,Kap Farvel
26,Bethel,US,34.11,clear sky,41.3712,-73.414,Hampton Inn Danbury
48,Sarkand,KZ,34.03,overcast clouds,45.41,79.9186,Сарканд
49,Waterford,US,29.28,overcast clouds,42.7023,-83.4027,Quality Inn & Suites
52,Leh,IN,20.35,light snow,34.1667,77.5833,Kang Lha Chen
57,Sioux Lookout,CA,19.47,mist,50.1001,-91.917,Wellington Inn & Restaurant
71,Logansport,US,31.53,clear sky,40.7545,-86.3567,"Holiday Inn Express & Suites Logansport, an IHG Hotel"
76,Havoysund,NO,21.43,overcast clouds,70.9963,24.6622,Havøysund Hotell
87,Saint Anthony,US,19.02,haze,45.0205,-93.218,Delta Hotels by Marriott
88,Cubuk,TR,28.15,broken clouds,40.2386,33.0322,Çubuk Lisesi Pansiyonu
102,Moose Factory,CA,21.2,snow,51.2585,-80.6094,Cree Village Ecolodge
129,Vardo,NO,22.98,light snow,70.3705,31.1107,Meieriet
146,Tasiilaq,GL,19.56,broken clouds,65.6145,-37.6368,Angmagssalik
149,Monroe,US,30.96,broken clouds,43.1501,-77.6831,Quality Inn
153,Narsaq,GL,19.35,overcast clouds,60.9167,-46.05,Hotel Narsaq
160,Severo-Kurilsk,RU,25.77,overcast clouds,50.6789,156.125,"""Дом рыбака"""
163,Mandalgovi,MN,15.75,clear sky,45.7625,106.2708,АЛТАНГОВЬ Hotel
164,Fengzhen,CN,26.31,clear sky,40.4394,113.1536,春江大酒店
168,Bolu,TR,33.44,clear sky,40.6667,31.5833,Gazelle Resort Spa Hotel
174,Nuuk,GL,23.56,overcast clouds,64.1835,-51.7216,Nordbo
198,Kodiak,US,29.71,snow,57.79,-152.4072,Shelikof Lodge
209,Mehamn,NO,19.35,light snow,71.0357,27.8492,Mehamn Arctic hotell
215,Anadyr,RU,16.3,light snow,64.75,177.4833,Гостевой дом
254,Chippewa Falls,US,17.78,clear sky,44.9369,-91.3929,Cobblestone Hotel & Suites
279,Chapleau,CA,23.09,scattered clouds,47.8405,-83.4034,Bridgeview Motel
295,Nemuro,JP,33.12,overcast clouds,43.3236,145.575,イーストハーバーホテル
310,Huntley,US,26.64,broken clouds,42.1681,-88.4281,Hampton Inn Huntley Chicago
323,Grindavik,IS,30.67,broken clouds,63.8424,-22.4338,The Retreat at Blue Lagoon Iceland
352,Vestmannaeyjar,IS,33.19,overcast clouds,63.4427,-20.2734,Westman Islands Inn
358,Batsfjord,NO,19.33,heavy snow,70.6345,29.7185,Polar Hotel
389,Port Hawkesbury,CA,22.62,clear sky,45.6169,-61.3485,Hearthstone Inn Port Hawkesbury
435,Culfa,AZ,31.87,overcast clouds,38.9558,45.6308,Araz Otel
443,Grinnell,US,27.91,clear sky,41.743,-92.7224,Comfort Inn & Suites
460,Paamiut,GL,25.7,overcast clouds,61.994,-49.6678,Hotel Ivaana
479,Xining,CN,29.55,overcast clouds,36.6167,101.7667,Qinghai hotel
535,Haines Junction,CA,17.69,overcast clouds,60.7522,-137.5108,Parkside Inn
546,Korla,CN,28.6,overcast clouds,41.7597,86.1469,Silver Star Hotel
555,Husavik,IS,34.47,snow,66.0449,-17.3389,Fosshótel Húsavík
566,Halifax,CA,21.2,clear sky,44.6453,-63.5724,Four Points by Sheraton Halifax
574,Hammerfest,NO,21.65,overcast clouds,70.6634,23.6821,Thon Hotel Hammerfest
578,Lulea,SE,24.87,light snow,65.5842,22.1547,Clarion Hotel Sense
612,Shahreza,IR,32.59,clear sky,32.0339,51.8794,هتل و رستوران منتظران
628,Havre-Saint-Pierre,CA,15.8,light snow,50.2334,-63.5986,Complexe MV
695,Gillette,US,32.92,clear sky,44.2911,-105.5022,Montgomery Hotel
701,Erenhot,CN,20.23,clear sky,43.6475,111.9767,Oulen hotel
